model,index,no_rag,dense,bm25,roundrobin,rrf,rerank,cite_only,cite_rrf,rrf50,cite_rrf50,cite_ls_rrf50,oracle,ls_text
DeepSeek-V4-Flash,62,29.545454545454547,31.818181818181817,27.27272727272727,25.0,15.909090909090908,22.727272727272727,25.0,20.454545454545457,20.454545454545457,20.454545454545457,25.0,47.72727272727273,
DeepSeek-V4-Flash,63,28.125,37.5,21.875,40.625,28.125,28.125,28.125,31.25,34.375,37.5,43.75,59.375,
DeepSeek-V4-Flash,64,23.28767123287671,15.068493150684931,15.068493150684931,17.80821917808219,17.80821917808219,20.54794520547945,13.6986301369863,15.068493150684931,19.17808219178082,26.02739726027397,26.02739726027397,35.61643835616438,
DeepSeek-V4-Flash,65,22.857142857142858,24.285714285714285,21.428571428571427,17.142857142857142,15.714285714285714,21.428571428571427,24.285714285714285,28.57142857142857,14.285714285714285,21.428571428571427,24.285714285714285,15.714285714285714,
DeepSeek-V4-Flash,66,18.181818181818183,20.454545454545457,18.181818181818183,20.454545454545457,15.909090909090908,18.181818181818183,25.0,29.545454545454547,34.090909090909086,22.727272727272727,25.0,50.0,
DeepSeek-V4-Flash,67,26.5625,26.5625,23.4375,21.875,32.8125,25.0,26.5625,21.875,31.25,28.125,29.6875,50.0,
DeepSeek-V4-Flash,68,15.714285714285714,11.428571428571429,20.0,15.714285714285714,15.714285714285714,14.285714285714285,11.428571428571429,17.142857142857142,24.285714285714285,14.285714285714285,20.0,34.285714285714285,
DeepSeek-V4-Flash,69,29.411764705882355,26.47058823529412,41.17647058823529,32.35294117647059,23.52941176470588,35.294117647058826,26.47058823529412,29.411764705882355,23.52941176470588,17.647058823529413,26.47058823529412,61.76470588235294,
DeepSeek-V4-Flash,70,25.37313432835821,25.37313432835821,22.388059701492537,20.8955223880597,20.8955223880597,26.86567164179105,25.37313432835821,22.388059701492537,22.388059701492537,25.37313432835821,31.343283582089555,37.3134328358209,
DeepSeek-V4-Flash,71,29.166666666666668,18.75,16.666666666666664,25.0,35.41666666666667,33.33333333333333,33.33333333333333,25.0,16.666666666666664,18.75,25.0,43.75,
DeepSeek-V4-Flash,72,33.33333333333333,20.0,20.0,23.33333333333333,30.0,30.0,20.0,23.33333333333333,23.33333333333333,23.33333333333333,33.33333333333333,36.66666666666666,
DeepSeek-V4-Flash,73,29.577464788732392,23.943661971830984,28.169014084507044,30.985915492957744,23.943661971830984,38.0281690140845,22.53521126760564,28.169014084507044,32.3943661971831,35.2112676056338,39.436619718309856,46.478873239436616,
