config,corpus,mode,query,merge,drop_structural,rerank,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,fusion_w,cite_filter,state_share,pool,two_hop,ls_depth,ls_kinds
state_share40,combined,hybrid,rewriter,rrf,True,,gold,100,0.1111375535459305,0.9753086419753086,0.1469864698646986,467,4202,0.0,111.8,,,0.4,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,refex,5,0.0,0.0,0.0,0,1681,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,refex,10,0.0035693039857227,0.0649350649350649,0.0,6,1681,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,refex,20,0.0101130279595478,0.1688311688311688,0.0,17,1681,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,refex,50,0.0582986317668054,0.6493506493506493,0.0,98,1681,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,refex,100,0.0939916716240333,0.7662337662337663,0.0,158,1681,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,gold,5,0.0214183722037125,0.5802469135802469,0.052890528905289,90,4202,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,gold,10,0.0349833412660637,0.7037037037037037,0.082410824108241,147,4202,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,gold,20,0.0544978581627796,0.8024691358024691,0.1236162361623616,229,4202,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,gold,50,0.0897191813422179,0.9506172839506172,0.1494464944649446,377,4202,0.0,111.0,,,0.6,,,,
state_share60,combined,hybrid,rewriter,rrf,True,,gold,100,0.1123274631128034,0.9753086419753086,0.1500615006150061,472,4202,0.0,111.0,,,0.6,,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,refex,5,0.0267697798929208,0.4545454545454545,0.0,45,1681,0.0,465.7,,,,100.0,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,refex,10,0.0345032718619869,0.5064935064935064,0.0,58,1681,0.0,465.7,,,,100.0,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,refex,20,0.0535395597858417,0.5974025974025974,0.0,90,1681,0.0,465.7,,,,100.0,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,refex,50,0.0832837596668649,0.7272727272727273,0.0,140,1681,0.0,465.7,,,,100.0,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,refex,100,0.0939916716240333,0.7662337662337663,0.0,158,1681,0.0,465.7,,,,100.0,,,
rerank_pool100,combined,hybrid,rewriter,rrf,True,bge,gold,5,0.0273679200380771,0.7777777777777778,0.033210332103321,115,4202,0.0,465.7,,,,100.0,,,
